image,error_type,class_id,class_name,confidence,iou
image0.jpg,false_positive,15,Pothole,0.8211666941642761,0.0
image0.jpg,false_positive,15,Pothole,0.7395844459533691,0.0
image0.jpg,false_positive,15,Pothole,0.6985712647438049,0.0
image0.jpg,false_positive,6,Human,0.6571422815322876,0.0
image0.jpg,false_positive,15,Pothole,0.42438122630119324,0.0
image0.jpg,false_positive,6,Human,0.40610915422439575,0.0
image0.jpg,false_positive,15,Pothole,0.3833610415458679,0.0
image0.jpg,false_positive,15,Pothole,0.33726492524147034,0.0
image0.jpg,false_positive,15,Pothole,0.33216482400894165,0.0
image0.jpg,false_positive,15,Pothole,0.2666083872318268,0.0
image1.jpg,false_positive,21,Truck,0.9867673516273499,0.0
image1.jpg,false_positive,3,Car,0.9465729594230652,0.0
image1.jpg,false_positive,21,Truck,0.9269014000892639,0.0
image1.jpg,false_positive,3,Car,0.9105696082115173,0.0
image1.jpg,false_positive,2,Bus,0.9077765345573425,0.0
image1.jpg,false_positive,16,Rickshaw,0.9032682776451111,0.0
image1.jpg,false_positive,16,Rickshaw,0.8770567178726196,0.0
image1.jpg,false_positive,18,SUV,0.850029706954956,0.0
image1.jpg,false_positive,2,Bus,0.8186531662940979,0.0
image1.jpg,false_positive,20,Three wheelers -CNG-,0.7848855257034302,0.0
image1.jpg,false_positive,16,Rickshaw,0.770144522190094,0.0
image1.jpg,false_positive,23,Zebra Crossing,0.7454438209533691,0.0
image1.jpg,false_positive,16,Rickshaw,0.695595383644104,0.0
image1.jpg,false_positive,12,Motorbike,0.41536426544189453,0.0
image1.jpg,false_positive,23,Zebra Crossing,0.35377195477485657,0.0
image1.jpg,false_positive,16,Rickshaw,0.3447718918323517,0.0
image1.jpg,false_positive,6,Human,0.26889312267303467,0.0
image3.jpg,false_positive,9,Micro Bus,0.9781551957130432,0.0
image3.jpg,false_positive,3,Car,0.9323660135269165,0.0
image3.jpg,false_positive,3,Car,0.9228274822235107,0.0
image3.jpg,false_positive,2,Bus,0.9193166494369507,0.0
image3.jpg,false_positive,20,Three wheelers -CNG-,0.9157665967941284,0.0
image3.jpg,false_positive,3,Car,0.9082001447677612,0.0
image3.jpg,false_positive,20,Three wheelers -CNG-,0.9071733355522156,0.0
image3.jpg,false_positive,3,Car,0.90095055103302,0.0
image3.jpg,false_positive,2,Bus,0.8974711298942566,0.0
image3.jpg,false_positive,2,Bus,0.8967382311820984,0.0
image3.jpg,false_positive,3,Car,0.889255702495575,0.0
image3.jpg,false_positive,2,Bus,0.8836947679519653,0.0
image3.jpg,false_positive,2,Bus,0.8749100565910339,0.0
image3.jpg,false_positive,2,Bus,0.8689106702804565,0.0
image3.jpg,false_positive,2,Bus,0.8303759098052979,0.0
image3.jpg,false_positive,20,Three wheelers -CNG-,0.8035815358161926,0.0
image3.jpg,false_positive,20,Three wheelers -CNG-,0.7899090051651001,0.0
image3.jpg,false_positive,3,Car,0.77530837059021,0.0
image3.jpg,false_positive,3,Car,0.363937109708786,0.0
image4.jpg,false_positive,2,Bus,0.8848167657852173,0.0
image4.jpg,false_positive,6,Human,0.8269214034080505,0.0
image4.jpg,false_positive,2,Bus,0.8052179217338562,0.0
image4.jpg,false_positive,2,Bus,0.7614137530326843,0.0
image4.jpg,false_positive,6,Human,0.7377848029136658,0.0
